DateTime,CPU_Idle(%),Memory_Used(KB),Memory_Free(KB)
2024-09-10 23:35:52,89,7179340,37888
2024-09-10 23:35:54,89,7179340,37888
2024-09-10 23:35:56,89,7179340,37888
2024-09-10 23:35:58,88,7179088,37896
2024-09-10 23:36:00,88,7178836,37896
2024-09-10 23:36:02,87,7178836,37904
2024-09-10 23:36:04,89,7178836,37904
2024-09-10 23:36:06,91,7178836,37904
2024-09-10 23:36:09,86,7178584,37912
2024-09-10 23:36:11,89,7178332,37912
2024-09-10 23:36:13,89,7178332,37920
2024-09-10 23:36:15,88,7178332,37920
2024-09-10 23:36:17,89,7178080,37920
2024-09-10 23:36:19,88,7178584,37928
2024-09-10 23:36:21,91,7178332,37928
2024-09-10 23:36:23,89,7178584,37928
2024-09-10 23:36:25,88,7179088,37936
2024-09-10 23:36:27,88,7179088,37936
2024-09-10 23:36:29,88,7179088,37944
2024-09-10 23:36:31,89,7179088,37944
2024-09-10 23:36:33,89,7179088,37944
2024-09-10 23:36:35,90,7179088,37952
2024-09-10 23:36:37,87,7179116,37952
2024-09-10 23:36:39,83,7178864,37960
2024-09-10 23:36:41,89,7178864,37960
2024-09-10 23:36:43,86,7178864,37960
2024-09-10 23:36:45,89,7179368,37968
2024-09-10 23:36:47,86,7179620,37968
2024-09-10 23:36:49,90,7179872,37968
2024-09-10 23:36:51,89,7179620,37976
2024-09-10 23:36:53,90,7179368,37976
2024-09-10 23:36:55,89,7179368,37984
2024-09-10 23:36:57,89,7179368,37984
2024-09-10 23:36:59,90,7179116,37984
2024-09-10 23:37:01,89,7178864,37992
2024-09-10 23:37:03,89,7178864,37992
2024-09-10 23:37:05,88,7178864,38004
2024-09-10 23:37:07,89,7178864,38004
2024-09-10 23:37:09,90,7178864,38004
2024-09-10 23:37:11,88,7178612,38012
2024-09-10 23:37:14,90,7178612,38012
2024-09-10 23:37:16,90,7178612,38020
2024-09-10 23:37:18,88,7178612,38020
2024-09-10 23:37:20,88,7178612,38020
2024-09-10 23:37:22,88,7178612,38028
2024-09-10 23:37:24,87,7178612,38028
2024-09-10 23:37:26,91,7178612,38028
2024-09-10 23:37:28,89,7178864,38036
2024-09-10 23:37:30,90,7179620,38036
2024-09-10 23:37:32,88,7179620,38048
2024-09-10 23:37:34,89,7179620,38048
2024-09-10 23:37:36,89,7179396,38048
2024-09-10 23:37:38,88,7179648,38056
2024-09-10 23:37:40,89,7179900,38056
2024-09-10 23:37:42,88,7179900,38056
2024-09-10 23:37:44,90,7180152,38064
2024-09-10 23:37:46,88,7180152,38064
2024-09-10 23:37:48,89,7180152,38064
2024-09-10 23:37:50,89,7180404,38072
2024-09-10 23:37:52,89,7180656,38072
2024-09-10 23:37:54,89,7180908,38080
2024-09-10 23:37:56,90,7181412,38080
2024-09-10 23:37:58,89,7181412,38080
2024-09-10 23:38:00,90,7181160,38088
2024-09-10 23:38:02,89,7181160,38088
2024-09-10 23:38:04,90,7181664,38096
2024-09-10 23:38:06,89,7181664,38096
2024-09-10 23:38:08,89,7181412,38096
2024-09-10 23:38:10,90,7181412,38104
2024-09-10 23:38:12,91,7181916,38104
2024-09-10 23:38:14,90,7182420,38112
2024-09-10 23:38:17,90,7182420,38112
2024-09-10 23:38:19,88,7182420,38112
2024-09-10 23:38:21,88,7182420,38120
2024-09-10 23:38:23,90,7182420,38120
2024-09-10 23:38:25,90,7182672,38128
2024-09-10 23:38:27,89,7182672,38128
2024-09-10 23:38:29,89,7182672,38128
2024-09-10 23:38:31,89,7182672,38136
2024-09-10 23:38:33,90,7182672,38136
2024-09-10 23:38:35,89,7182420,38144
2024-09-10 23:38:37,87,7182420,38144
2024-09-10 23:38:39,89,7182672,38144
2024-09-10 23:38:41,91,7182672,38152
2024-09-10 23:38:43,89,7182672,38152
2024-09-10 23:38:45,88,7182420,38152
2024-09-10 23:38:47,89,7182196,38160
2024-09-10 23:38:49,88,7182196,38160
2024-09-10 23:38:51,88,7182196,38168
2024-09-10 23:38:53,89,7182448,38168
2024-09-10 23:38:55,90,7182448,38168
2024-09-10 23:38:57,90,7182596,38176
2024-09-10 23:38:59,89,7182196,38176
2024-09-10 23:39:01,89,7181944,38184
2024-09-10 23:39:03,89,7182448,38184
2024-09-10 23:39:05,90,7182448,38184
2024-09-10 23:39:07,89,7182448,38192
2024-09-10 23:39:09,89,7182952,38192
2024-09-10 23:39:11,88,7183204,38192
2024-09-10 23:39:13,89,7182952,38200
2024-09-10 23:39:15,91,7182952,38200
2024-09-10 23:39:17,87,7182700,38208
2024-09-10 23:39:19,90,7182952,38208
2024-09-10 23:39:21,87,7183204,38208
2024-09-10 23:39:24,87,7182952,38216
2024-09-10 23:39:26,84,7182700,38216
2024-09-10 23:39:28,86,7182700,38224
2024-09-10 23:39:30,86,7182700,38224
2024-09-10 23:39:32,88,7182700,38224
2024-09-10 23:39:34,89,7182700,38232
2024-09-10 23:39:36,85,7182196,38232
2024-09-10 23:39:38,89,7181944,38236
2024-09-10 23:39:40,87,7182952,38240
2024-09-10 23:39:42,89,7182952,38240
2024-09-10 23:39:44,89,7182448,38248
2024-09-10 23:39:46,89,7182700,38248
2024-09-10 23:39:48,89,7182952,38248
2024-09-10 23:39:50,89,7182952,38256
2024-09-10 23:39:52,89,7182952,38256
2024-09-10 23:39:54,89,7182952,38264
2024-09-10 23:39:56,89,7183204,38264
2024-09-10 23:39:58,89,7183232,38264
2024-09-10 23:40:00,88,7183232,38272
2024-09-10 23:40:02,89,7183232,38272
2024-09-10 23:40:04,87,7183484,38280
2024-09-10 23:40:06,87,7183736,38280
2024-09-10 23:40:08,89,7183736,38280
2024-09-10 23:40:10,88,7183988,38288
2024-09-10 23:40:12,88,7184492,38288
2024-09-10 23:40:14,88,7184492,38296
2024-09-10 23:40:16,89,7184240,38296
2024-09-10 23:40:18,89,7183988,38296
2024-09-10 23:40:20,85,7184240,38304
2024-09-10 23:40:22,89,7183736,38304
2024-09-10 23:40:24,91,7183736,38304
2024-09-10 23:40:27,91,7183484,38312
2024-09-10 23:40:29,89,7183988,38312
2024-09-10 23:40:31,90,7183988,38312
2024-09-10 23:40:33,89,7183988,38320
2024-09-10 23:40:35,89,7184240,38320
2024-09-10 23:40:37,88,7183736,38328
2024-09-10 23:40:39,89,7183484,38328
2024-09-10 23:40:41,87,7183484,38328
2024-09-10 23:40:43,90,7183232,38336
2024-09-10 23:40:45,91,7183232,38336
2024-09-10 23:40:47,89,7182980,38344
2024-09-10 23:40:49,88,7183232,38344
2024-09-10 23:40:51,86,7183232,38344
2024-09-10 23:40:53,89,7183484,38352
2024-09-10 23:40:55,84,7183736,38352
2024-09-10 23:40:57,88,7184492,38352
2024-09-10 23:40:59,90,7184744,38360
2024-09-10 23:41:01,89,7184744,38360
2024-09-10 23:41:03,86,7184744,38368
2024-09-10 23:41:05,86,7184492,38368
2024-09-10 23:41:07,88,7184016,38368
2024-09-10 23:41:09,89,7184016,38376
2024-09-10 23:41:11,89,7183764,38376
2024-09-10 23:41:13,89,7183512,38376
2024-09-10 23:41:15,89,7183764,38384
2024-09-10 23:41:17,88,7184016,38388
2024-09-10 23:41:19,88,7183764,38396
2024-09-10 23:41:21,88,7183764,38396
2024-09-10 23:41:23,89,7183764,38396
2024-09-10 23:41:25,88,7183764,38404
2024-09-10 23:41:27,89,7183764,38404
2024-09-10 23:41:29,83,7183764,38412
2024-09-10 23:41:32,88,7183764,38412
2024-09-10 23:41:34,88,7183764,38412
2024-09-10 23:41:36,88,7183764,38420
2024-09-10 23:41:38,90,7183764,38420
2024-09-10 23:41:40,90,7183512,38428
2024-09-10 23:41:42,90,7183260,38428
2024-09-10 23:41:44,87,7183260,38428
2024-09-10 23:41:46,87,7183260,38436
2024-09-10 23:41:48,88,7183260,38436
2024-09-10 23:41:50,91,7183260,38444
2024-09-10 23:41:52,89,7183260,38444
2024-09-10 23:41:54,88,7183260,38444
2024-09-10 23:41:56,89,7183260,38452
2024-09-10 23:41:58,89,7183260,38452
2024-09-10 23:42:00,89,7183260,38460
2024-09-10 23:42:02,88,7183764,38460
2024-09-10 23:42:04,89,7183764,38460
2024-09-10 23:42:06,90,7183764,38468
2024-09-10 23:42:08,89,7183764,38468
2024-09-10 23:42:10,88,7183764,38468
2024-09-10 23:42:12,88,7183764,38476
2024-09-10 23:42:14,88,7183764,38476
2024-09-10 23:42:16,89,7183540,38484
2024-09-10 23:42:18,89,7183540,38484
2024-09-10 23:42:20,89,7183792,38484
2024-09-10 23:42:22,90,7184044,38492
2024-09-10 23:42:24,85,7183792,38492
2024-09-10 23:42:26,90,7183540,38500
2024-09-10 23:42:28,89,7183540,38500
2024-09-10 23:42:30,90,7183540,38500
2024-09-10 23:42:32,86,7183540,38508
2024-09-10 23:42:34,92,7183540,38508
2024-09-10 23:42:36,86,7183540,38508
2024-09-10 23:42:39,91,7183540,38516
2024-09-10 23:42:41,89,7183540,38516
2024-09-10 23:42:43,89,7183540,38524
2024-09-10 23:42:45,90,7183540,38524
2024-09-10 23:42:47,90,7183540,38524
2024-09-10 23:42:49,90,7183540,38532
2024-09-10 23:42:51,92,7183792,38532
2024-09-10 23:42:53,86,7184044,38540
2024-09-10 23:42:55,89,7184044,38540
2024-09-10 23:42:57,88,7184044,38540
2024-09-10 23:42:59,88,7183792,38548
2024-09-10 23:43:01,88,7183792,38548
2024-09-10 23:43:03,86,7183792,38556
2024-09-10 23:43:05,90,7183792,38556
2024-09-10 23:43:07,90,7183792,38556
2024-09-10 23:43:09,89,7183792,38564
2024-09-10 23:43:11,90,7183540,38564
2024-09-10 23:43:13,89,7183540,38564
2024-09-10 23:43:15,90,7183540,38572
2024-09-10 23:43:17,89,7183036,38572
2024-09-10 23:43:19,89,7182784,38580
2024-09-10 23:43:21,89,7182532,38580
2024-09-10 23:43:23,87,7182532,38580
2024-09-10 23:43:25,89,7182532,38588
2024-09-10 23:43:27,86,7182056,38588
2024-09-10 23:43:29,89,7181804,38596
2024-09-10 23:43:31,90,7181804,38596
2024-09-10 23:43:33,90,7181804,38596
2024-09-10 23:43:35,90,7181804,38604
2024-09-10 23:43:37,83,7182056,38604
2024-09-10 23:43:39,90,7182056,38612
2024-09-10 23:43:41,88,7182056,38612
2024-09-10 23:43:44,90,7182056,38612
2024-09-10 23:43:46,90,7181804,38620
2024-09-10 23:43:48,91,7181552,38620
2024-09-10 23:43:50,89,7181300,38628
2024-09-10 23:43:52,89,7181300,38628
2024-09-10 23:43:54,89,7182056,38628
2024-09-10 23:43:56,86,7181300,38636
2024-09-10 23:43:58,91,7181048,38636
2024-09-10 23:44:00,89,7181048,38644
2024-09-10 23:44:02,90,7181048,38644
2024-09-10 23:44:04,88,7180796,38644
2024-09-10 23:44:06,88,7180796,38652
2024-09-10 23:44:08,89,7180796,38652
